139	0.655
160	0.567
422	0.582
351	0.455
1994	0.613
2053	0.455
230	0.600
129	0.864
389	0.800
755	0.835
642	0.678
275	0.582
699	0.562
165	0.418
1066	0.704
342	0.604
431	0.694
2389	0.359
1010	0.393
320	0.651
245	0.744
287	0.497
139	0.514
171	0.536
330	0.646
1019	0.566
515	0.511
207	0.734
388	0.641
2331	0.340
420	0.409
1102	0.871
759	0.680
356	0.399
153	0.460
423	0.531
470	0.849
992	0.584
337	0.697
2860	0.592
71	0.550
984	0.642
662	0.687
91	0.426
814	0.861
830	0.690
370	0.343
460	0.755
608	0.708
417	0.639
253	0.448
1264	0.531
908	0.572
428	0.608
1949	0.619
405	0.571
2463	0.682
435	0.482
126	0.439
337	0.503
3019	0.472
394	0.589
810	0.762
270	0.616
2231	0.490
2673	0.657
1640	0.543
176	0.428
563	0.654
1715	0.773
1877	0.566
362	0.648
4219	1.000
2153	0.710
1254	0.683
492	0.250

