0.304	-0.399	0.604	0.655
0.283	0.219	0.607	0.567
-0.866	0.119	0.764	0.582
0.728	1.012	0.546	0.455
-0.743	-0.106	0.748	0.613
-0.289	1.010	0.685	0.455
0.812	-0.015	0.535	0.600
0.157	-1.876	0.625	0.864
-1.228	-1.425	0.814	0.800
-1.212	-1.670	0.812	0.835
-0.473	-0.561	0.711	0.678
1.101	0.112	0.495	0.582
-1.212	0.257	0.812	0.562
-0.337	1.273	0.692	0.418
-0.444	-0.745	0.707	0.704
-0.424	-0.036	0.704	0.604
-0.399	-0.676	0.700	0.694
0.921	1.686	0.520	0.359
-0.163	1.451	0.668	0.393
0.631	-0.372	0.560	0.651
-0.160	-1.028	0.668	0.744
0.183	0.712	0.621	0.497
0.342	0.596	0.599	0.514
0.110	0.439	0.631	0.536
1.057	-0.337	0.501	0.646
1.833	0.227	0.395	0.566
-1.311	0.617	0.825	0.511
-0.723	-0.956	0.745	0.734
-1.089	-0.300	0.795	0.641
1.623	1.821	0.424	0.340
2.896	1.333	0.250	0.409
-0.891	-1.925	0.768	0.871
-0.427	-0.578	0.704	0.680
0.362	1.406	0.596	0.399
0.134	0.976	0.628	0.460
0.111	0.474	0.631	0.531
-0.966	-1.771	0.778	0.849
-0.073	0.104	0.656	0.584
1.085	-0.699	0.498	0.697
-0.833	0.042	0.760	0.592
2.284	0.338	0.334	0.550
-0.353	-0.309	0.694	0.642
-2.259	-0.627	0.955	0.687
2.388	1.217	0.319	0.426
0.050	-1.852	0.639	0.861
-0.781	-0.650	0.753	0.690
0.782	1.801	0.539	0.343
0.334	-1.108	0.600	0.755
1.393	-0.771	0.455	0.708
1.891	-0.286	0.387	0.639
-2.589	1.062	1.000	0.448
0.316	0.473	0.603	0.531
-0.638	0.186	0.733	0.572
-0.151	-0.067	0.667	0.608
0.431	-0.147	0.587	0.619
-0.160	0.190	0.668	0.571
-0.272	-0.587	0.683	0.682
-0.661	0.824	0.736	0.482
0.827	1.127	0.533	0.439
-0.377	0.676	0.697	0.503
-1.231	0.890	0.814	0.472
0.472	0.065	0.581	0.589
-1.532	-1.156	0.855	0.762
-0.660	-0.122	0.736	0.616
0.282	0.763	0.607	0.490
0.606	-0.417	0.563	0.657
-0.826	0.387	0.759	0.543
0.278	1.204	0.608	0.428
-0.362	-0.390	0.695	0.654
-0.512	-1.235	0.716	0.773
0.887	0.226	0.525	0.566
1.135	-0.352	0.491	0.648
-0.516	-2.834	0.716	1.000
-0.893	-0.790	0.768	0.710
-0.399	-0.598	0.700	0.683
0.405	2.457	0.591	0.250
