139	0.604
160	0.607
422	0.764
351	0.546
1994	0.748
2053	0.685
230	0.535
129	0.625
389	0.814
755	0.812
642	0.711
275	0.495
699	0.812
165	0.692
1066	0.707
342	0.704
431	0.700
2389	0.520
1010	0.668
320	0.560
245	0.668
287	0.621
139	0.599
171	0.631
330	0.501
1019	0.395
515	0.825
207	0.745
388	0.795
2331	0.424
420	0.250
1102	0.768
759	0.704
356	0.596
153	0.628
423	0.631
470	0.778
992	0.656
337	0.498
2860	0.760
71	0.334
984	0.694
662	0.955
91	0.319
814	0.639
830	0.753
370	0.539
460	0.600
608	0.455
417	0.387
253	1.000
1264	0.603
908	0.733
428	0.667
1949	0.587
405	0.668
2463	0.683
435	0.736
126	0.533
337	0.697
3019	0.814
394	0.581
810	0.855
270	0.736
2231	0.607
2673	0.563
1640	0.759
176	0.608
563	0.695
1715	0.716
1877	0.525
362	0.491
4219	0.716
2153	0.768
1254	0.700
492	0.591
